track_title,artist_title,explicit,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveliness,loudness,mode,speechiness,tempo,time_signature,valence,metric,billboard_hit
who am i,beenie man,f,196160,0.159,0.597,0.826,0.0,11.0,0.293,-6.0310000000000015,1.0,0.431,86.006,4.0,0.55,0.39662171197013047450,1.0
real live woman,trisha yearwood,f,235826,0.6729999999999999,0.623,0.40299999999999997,0.0000226,10.0,0.214,-8.425,1.0,0.0292,126.65,4.0,0.33399999999999996,0.07139090337709779610,1.0
i wouldn't lie,yarbrough & peoples,f,304480,0.000822,0.728,0.7929999999999999,0.732,7.0,0.166,-8.548,0.0,0.0279,111.29,4.0,0.8759999999999999,0.04179914930968955872,1.0
hazard,richard marx,f,317306,0.175,0.6759999999999999,0.5820000000000001,0.00396,7.0,0.0672,-10.345,0.0,0.0258,124.838,4.0,0.648,1.01923959081853818696,1.0
hazard,richard marx,f,297573,0.0257,0.722,0.57,0.00000177,7.0,0.0908,-6.8210000000000015,0.0,0.0257,124.988,4.0,0.255,1.01923959081853818696,1.0
hazard,richard marx,f,254666,0.785,0.532,0.34600000000000003,0.0,6.0,0.10300000000000001,-6.825,0.0,0.0321,131.90200000000002,4.0,0.35100000000000003,1.01923959081853818696,1.0
hazard,richard marx,f,256787,0.469,0.518,0.455,0.0,6.0,0.885,-9.113999999999999,0.0,0.0296,137.037,4.0,0.44299999999999995,1.01923959081853818696,1.0
black & chinese,huncho jack,t,172016,0.00277,0.6629999999999999,0.8420000000000001,0.000974,1.0,0.12300000000000001,-4.152,1.0,0.10099999999999999,159.132,4.0,0.34600000000000003,0.01408450704225352113,1.0
black & chinese,huncho jack,t,172016,0.00277,0.6629999999999999,0.8420000000000001,0.000974,1.0,0.12300000000000001,-4.152,1.0,0.10099999999999999,159.132,4.0,0.34600000000000003,0.01408450704225352113,1.0
black & chinese,huncho jack,t,172016,0.00277,0.6629999999999999,0.8420000000000001,0.000974,1.0,0.12300000000000001,-4.152,1.0,0.10099999999999999,159.132,4.0,0.34600000000000003,0.01408450704225352113,1.0
black & chinese,huncho jack,t,172016,0.00277,0.6629999999999999,0.8420000000000001,0.000974,1.0,0.12300000000000001,-4.152,1.0,0.10099999999999999,159.132,4.0,0.34600000000000003,0.01408450704225352113,1.0
black & chinese,huncho jack,t,172016,0.00277,0.6629999999999999,0.8420000000000001,0.000974,1.0,0.12300000000000001,-4.152,1.0,0.10099999999999999,159.132,4.0,0.34600000000000003,0.01408450704225352113,1.0
black & chinese,huncho jack,t,172016,0.00277,0.6629999999999999,0.8420000000000001,0.000974,1.0,0.12300000000000001,-4.152,1.0,0.10099999999999999,159.132,4.0,0.34600000000000003,0.01408450704225352113,1.0
black & chinese,huncho jack,t,172016,0.00277,0.6629999999999999,0.8420000000000001,0.000974,1.0,0.12300000000000001,-4.152,1.0,0.10099999999999999,159.132,4.0,0.34600000000000003,0.01408450704225352113,1.0
black & chinese,huncho jack,t,172016,0.00277,0.6629999999999999,0.8420000000000001,0.000974,1.0,0.12300000000000001,-4.152,1.0,0.10099999999999999,159.132,4.0,0.34600000000000003,0.01408450704225352113,1.0
black & chinese,huncho jack,t,172016,0.00277,0.6629999999999999,0.8420000000000001,0.000974,1.0,0.12300000000000001,-4.152,1.0,0.10099999999999999,159.132,4.0,0.34600000000000003,0.01408450704225352113,1.0
rock my world (little country girl),brooks & dunn,f,223840,0.218,0.7290000000000001,0.6659999999999999,0.00032,9.0,0.34,-10.212,1.0,0.0297,120.296,4.0,0.882,0.03051335998316852514,1.0
rock my world (little country girl),brooks & dunn,f,222573,0.365,0.7240000000000001,0.782,0.00015900000000000002,9.0,0.455,-7.338999999999999,1.0,0.0321,120.323,4.0,0.899,0.03051335998316852514,1.0
